county,state,fips,yearninteenthirtyeight
Madison County,Alabama,1089,0
Butler County,Ohio,39017,0
Lake County,Florida,12069,0
Allen County,India0,18003,0
Forsyth County,North Caroli0,37067,7
Mercer County,New Jersey,34021,0
Lane County,Oregon,41039,0
Orleans Parish,Louisia0,22071,4
Collier County,Florida,12021,0
Marion County,Florida,12083,0
Brazoria County,Texas,48039,0
Stark County,Ohio,39151,0
Lehigh County,Pennsylvania,42077,2
Bell County,Texas,48027,0
Washte0w County,Michigan,26161,0
Hamilton County,Tennessee,47065,8
Chesterfield County,Virginia,51041,0
Anoka County,Minnesota,27003,0
Davis County,Utah,49011,0
Douglas County,Colorado,8035,0
Larimer County,Colorado,8069,0
Horry County,South Caroli0,45051,1
Westmoreland County,Pennsylvania,42129,0
Nueces County,Texas,48355,0
Galveston County,Texas,48167,0
Hamilton County,India0,18057,0
Marion County,Oregon,41047,0
Somerset County,New Jersey,34035,2
Rutherford County,Tennessee,47149,1
Rockland County,New York,36087,1
Cumberland County,North Caroli0,37051,1
St. Lucie County,Florida,12111,0
Henrico County,Virginia,51087,0
Howard County,Maryland,24027,1
Weld County,Colorado,8123,0
Spartanburg County,South Caroli0,45083,4
Boulder County,Colorado,8013,0
Greater Bridgeport Planning Region,Connecticut,9120,0
Luzerne County,Pennsylvania,42079,1
Durham County,North Caroli0,37063,5
Lancaster County,Nebraska,31109,0
Escambia County,Florida,12033,1
Fayette County,Kentucky,21067,0
Rockingham County,New Hampshire,33015,1
Albany County,New York,36001,0
Northampton County,Pennsylvania,42095,0
Lorain County,Ohio,39093,0
Lubbock County,Texas,48303,0
McHenry County,Illinois,17111,0
Cumberland County,Maine,23005,1
Gloucester County,New Jersey,34015,0
Greene County,Missouri,29077,0
St. Louis City,Missouri,29510,0
Dutchess County,New York,36027,6
Clayton County,Georgia,13063,0
Chatham County,Georgia,13051,1
Ottawa County,Michigan,26139,0
Lexington County,South Caroli0,45063,0
Cleveland County,Oklahoma,40027,0
Thurston County,Washington,53067,0
Leon County,Florida,12073,0
Anchorage Municipality,Alaska,2020,0
Benton County,Arkansas,5007,0
Dauphin County,Pennsylvania,42043,3
Winnebago County,Illinois,17201,0
York County,South Caroli0,45091,0
Ingham County,Michigan,26065,0
Merced County,California,6047,0
San Luis Obispo County,California,6079,0
Southeastern Connecticut Planning Region,Connecticut,9180,0
Alachua County,Florida,12001,0
St. Johns County,Florida,12109,3
Kitsap County,Washington,53035,0
Atlantic County,New Jersey,34001,11
Frederick County,Maryland,24021,3
St. Joseph County,India0,18141,0
Erie County,Pennsylvania,42049,1
Buncombe County,North Caroli0,37021,0
Washington County,Minnesota,27163,0
Santa Cruz County,California,6087,0
Cherokee County,Georgia,13057,0
Brown County,Wisconsin,55009,0
Webb County,Texas,48479,0
St. Tammany Parish,Louisia0,22103,0
Madison County,Illinois,17119,0
Weber County,Utah,49057,0
Kalamazoo County,Michigan,26077,0
Cumberland County,Pennsylvania,42041,0
McLen0n County,Texas,48309,0
Harford County,Maryland,24025,0
Marin County,California,6041,0
St. Clair County,Illinois,17163,0
Yakima County,Washington,53077,0
Jefferson County,Texas,48245,0
Forsyth County,Georgia,13117,0
Clay County,Missouri,29047,0
Chesapeake City,Virginia,51550,0
Williamson County,Tennessee,47187,0
Washington County,Arkansas,5143,0
Hays County,Texas,48209,0
Warren County,Ohio,39165,0
Lafayette Parish,Louisia0,22055,0
Henry County,Georgia,13151,0
Sussex County,Delaware,10005,0
Union County,North Caroli0,37179,0
Yavapai County,Arizo0,4025,0
Norfolk City,Virginia,51710,0
Saratoga County,New York,36091,5
Caddo Parish,Louisia0,22017,1
Arlington County,Virginia,51013,0
Canyon County,Idaho,16027,0
Smith County,Texas,48423,0
Brazos County,Texas,48041,0
Baldwin County,Alabama,1003,0
Lake County,Ohio,39085,0
Tuscaloosa County,Alabama,1125,4
Berkeley County,South Caroli0,45015,0
Oneida County,New York,36065,0
Barnstable County,Massachusetts,25001,1
Linn County,Iowa,19113,0
Gaston County,North Caroli0,37071,1
New Hanover County,North Caroli0,37129,0
Montgomery County,Alabama,1101,0
Mahoning County,Ohio,39099,0
Richmond City,Virginia,51760,0
Jefferson County,Missouri,29099,0
Hinds County,Mississippi,28049,0
Whatcom County,Washington,53073,0
Cabarrus County,North Caroli0,37025,0
Shelby County,Alabama,1117,0
Jackson County,Oregon,41029,0
Montgomery County,Tennessee,47125,3
Doña A0 County,New Mexico,35013,0
Clay County,Florida,12019,0
Johnston County,North Caroli0,37101,0
Yolo County,California,6113,0
Delaware County,Ohio,39041,0
Lackawan0 County,Pennsylvania,42069,3
Mohave County,Arizo0,4015,0
Butte County,California,6007,0
York County,Maine,23031,0
Niagara County,New York,36063,5
Okaloosa County,Florida,12091,0
Calcasieu Parish,Louisia0,22019,0
Washington County,Pennsylvania,42125,12
Clermont County,Ohio,39025,0
Harrison County,Mississippi,28047,0
Benton County,Washington,53005,0
Elkhart County,India0,18039,0
Champaign County,Illinois,17019,0
Richmond County,Georgia,13245,0
Hall County,Georgia,13139,0
Anderson County,South Caroli0,45007,0
Muscogee County,Georgia,13215,1
Yuma County,Arizo0,4027,0
Onslow County,North Caroli0,37133,0
Hawaii County,Hawaii,15001,0
Trumbull County,Ohio,39155,0
St. Louis County,Minnesota,27137,0
Deschutes County,Oregon,41017,0
Broome County,New York,36007,0
Minnehaha County,South Dakota,46099,0
Racine County,Wisconsin,55101,0
Sumner County,Tennessee,47165,0
Her0ndo County,Florida,12053,0
Sangamon County,Illinois,17167,1
Ellis County,Texas,48139,0
Butler County,Pennsylvania,42019,0
Livingston County,Michigan,26093,0
El Dorado County,California,6017,0
Sarpy County,Nebraska,31153,0
Outagamie County,Wisconsin,55087,0
Charlotte County,Florida,12015,0
Sagi0w County,Michigan,26145,0
Beaufort County,South Caroli0,45013,0
Santa Rosa County,Florida,12113,0
Iredell County,North Caroli0,37097,0
Tippecanoe County,India0,18157,0
Cass County,North Dakota,38017,0
DeSoto County,Mississippi,28033,0
Newport News City,Virginia,51700,0
Boone County,Missouri,29019,0
Washington County,Utah,49053,0
Johnson County,Texas,48251,0
Kent County,Delaware,10001,6
Medi0 County,Ohio,39103,0
Ulster County,New York,36111,0
Shasta County,California,6089,0
Peoria County,Illinois,17143,0
Bay County,Florida,12005,0
Vanderburgh County,India0,18163,0
Ka0wha County,West Virginia,54039,2
Imperial County,California,6025,0
Licking County,Ohio,39089,0
Shawnee County,Kansas,20177,0
Muskegon County,Michigan,26121,0
Hendricks County,India0,18063,0
Lower Connecticut River Valley Planning Region,Connecticut,9130,0
Lee County,Alabama,1081,0
Scott County,Iowa,19163,0
Guadalupe County,Texas,48187,0
Koote0i County,Idaho,16055,0
Porter County,India0,18127,0
Carroll County,Maryland,24013,0
Alamance County,North Caroli0,37001,0
McLean County,Illinois,17113,0
Winnebago County,Wisconsin,55139,0
Pitt County,North Caroli0,37147,0
Kent County,Rhode Island,44003,0
Paulding County,Georgia,13223,0
Aiken County,South Caroli0,45003,3
Davidson County,North Caroli0,37057,0
Midland County,Texas,48329,0
Kenton County,Kentucky,21117,0
Kenosha County,Wisconsin,55059,0
Chittenden County,Vermont,50007,1
Pueblo County,Colorado,8101,0
Monroe County,Pennsylvania,42089,2
Wyandotte County,Kansas,20209,0
Beaver County,Pennsylvania,42007,0
Greene County,Ohio,39057,0
Charles County,Maryland,24017,1
Yellowstone County,Monta0,30111,0
Comal County,Texas,48091,0
Maui County,Hawaii,15009,0
Houston County,Georgia,13153,0
Rock County,Wisconsin,55105,0
Olmsted County,Minnesota,27109,0
Ector County,Texas,48135,0
Dorchester County,South Caroli0,45035,0
Johnson County,India0,18081,0
Portage County,Ohio,39133,0
Catawba County,North Caroli0,37035,0
Indian River County,Florida,12061,0
Rensselaer County,New York,36083,0
Jackson County,Michigan,26075,0
St. Clair County,Michigan,26147,0
Ouachita Parish,Louisia0,22073,0
Schenectady County,New York,36093,0
Martin County,Florida,12085,0
Fairfield County,Ohio,39045,0
Sullivan County,Tennessee,47163,2
Centre County,Pennsylvania,42027,0
Stearns County,Minnesota,27145,0
Stafford County,Virginia,51179,0
Alexandria City,Virginia,51510,0
Madera County,California,6039,0
Rankin County,Mississippi,28121,0
Columbia County,Georgia,13073,0
Ca0dian County,Oklahoma,40017,0
Bibb County,Georgia,13021,6
Mesa County,Colorado,8077,0
Franklin County,Pennsylvania,42055,3
Citrus County,Florida,12017,0
Monroe County,Michigan,26115,0
Washington County,Maryland,24043,2
Santa Fe County,New Mexico,35049,0
Berrien County,Michigan,26021,0
Hampshire County,Massachusetts,25015,0
Merrimack County,New Hampshire,33013,0
Cumberland County,New Jersey,34011,1
Johnson County,Iowa,19103,0
Penobscot County,Maine,23019,0
Kings County,California,6031,0
Scott County,Minnesota,27139,0
Parker County,Texas,48367,0
Kaufman County,Texas,48257,0
Sandoval County,New Mexico,35043,0
Wilson County,Tennessee,47189,0
Coweta County,Georgia,13077,0
Rowan County,North Caroli0,37159,0
Orange County,North Caroli0,37135,0
Sussex County,New Jersey,34037,0
Douglas County,Georgia,13097,0
Coconino County,Arizo0,4005,0
Randolph County,North Caroli0,37151,0
Rock Island County,Illinois,17161,0
Jackson County,Mississippi,28059,0
Livingston Parish,Louisia0,22063,0
Lebanon County,Pennsylvania,42075,0
Schuylkill County,Pennsylvania,42107,0
Taylor County,Texas,48441,0
Wright County,Minnesota,27171,0
Randall County,Texas,48381,0
Spotsylvania County,Virginia,51177,0
Monroe County,India0,18105,0
Brunswick County,North Caroli0,37019,0
Marathon County,Wisconsin,55073,0
0pa County,California,6055,0
Hampton City,Virginia,51650,0
Florence County,South Caroli0,45041,2
Grayson County,Texas,48181,0
Washington County,Wisconsin,55131,0
Boone County,Kentucky,21015,0
Humboldt County,California,6023,0
Blount County,Tennessee,47009,0
Clark County,Ohio,39023,1
Warren County,Kentucky,21227,0
Harnett County,North Caroli0,37085,0
Cache County,Utah,49005,0
Calhoun County,Michigan,26025,0
Tangipahoa Parish,Louisia0,22105,0
Washington County,Tennessee,47179,0
Cambria County,Pennsylvania,42021,0
Kendall County,Illinois,17093,0
Sumter County,Florida,12119,0
Wood County,Ohio,39173,0
Tazewell County,Illinois,17179,0
Pickens County,South Caroli0,45077,0
Black Hawk County,Iowa,19013,0
Strafford County,New Hampshire,33017,0
Madison County,India0,18095,0
Washington County,Rhode Island,44009,0
Wichita County,Texas,48485,0
Rapides Parish,Louisia0,22079,0
Skagit County,Washington,53057,0
Hunterdon County,New Jersey,34019,0
Bossier Parish,Louisia0,22015,0
Clarke County,Georgia,13059,0
Berkshire County,Massachusetts,25003,2
Linn County,Oregon,41043,0
Fayette County,Pennsylvania,42051,0
Sebastian County,Arkansas,5131,0
Chautauqua County,New York,36013,0
Ascension Parish,Louisia0,22005,0
Cochise County,Arizo0,4003,0
Richland County,Ohio,39139,0
Faulkner County,Arkansas,5045,0
Bonneville County,Idaho,16019,0
Gregg County,Texas,48183,0
Kennebec County,Maine,23011,0
Saline County,Arkansas,5125,0
Berkeley County,West Virginia,54003,0
Morgan County,Alabama,1103,1
Jasper County,Missouri,29097,0
Blair County,Pennsylvania,42013,0
San Juan County,New Mexico,35045,0
Comanche County,Oklahoma,40031,0
Clark County,India0,18019,0
La Crosse County,Wisconsin,55063,0
Allegan County,Michigan,26005,0
Carroll County,Georgia,13045,0
Gallatin County,Monta0,30031,0
Tom Green County,Texas,48451,0
Fayette County,Georgia,13113,0
Douglas County,Kansas,20045,0
Missoula County,Monta0,30063,0
Lowndes County,Georgia,13185,0
Oswego County,New York,36075,0
Potter County,Texas,48375,0
Sheboygan County,Wisconsin,55117,0
Robeson County,North Caroli0,37155,0
Flagler County,Florida,12035,0
Wayne County,North Caroli0,37191,0
Jefferson County,New York,36045,0
Wayne County,Ohio,39169,0
Henderson County,North Caroli0,37089,0
Calhoun County,Alabama,1015,0
Lycoming County,Pennsylvania,42081,4
St. Mary's County,Maryland,24037,0
Newton County,Georgia,13217,0
Northwest Hills Planning Region,Connecticut,9160,0
Albemarle County,Virginia,51003,0
Ontario County,New York,36069,0
LaPorte County,India0,18091,0
Delaware County,India0,18035,0
Androscoggin County,Maine,23001,0
Douglas County,Oregon,41019,0
Craighead County,Arkansas,5031,0
Hardin County,Kentucky,21093,0
Rockwall County,Texas,48397,0
Cowlitz County,Washington,53015,0
Mercer County,Pennsylvania,42085,0
Hanover County,Virginia,51085,0
Pennington County,South Dakota,46103,0
Warren County,New Jersey,34041,0
LaSalle County,Illinois,17099,0
Bartow County,Georgia,13015,0
Madison County,Mississippi,28089,0
Eaton County,Michigan,26045,0
Terrebonne Parish,Louisia0,22109,0
Bradley County,Tennessee,47011,0
Miami County,Ohio,39109,0
St. Lawrence County,New York,36089,0
Matanuska-Susit0 Borough,Alaska,2170,0
Cass County,Missouri,29037,0
Yamhill County,Oregon,41071,0
Kankakee County,Illinois,17091,0
Carver County,Minnesota,27019,0
0vajo County,Arizo0,4017,0
Houston County,Alabama,1069,0
Platte County,Missouri,29165,0
Vigo County,India0,18167,0
Monongalia County,West Virginia,54061,0
Flathead County,Monta0,30029,0
Eau Claire County,Wisconsin,55035,0
Woodbury County,Iowa,19193,0
Sumter County,South Caroli0,45085,0
Walworth County,Wisconsin,55127,0
Franklin County,Missouri,29071,0
Adams County,Pennsylvania,42001,0
Limestone County,Alabama,1083,0
Fond du Lac County,Wisconsin,55039,0
Cecil County,Maryland,24015,0
Wicomico County,Maryland,24045,1
Bay County,Michigan,26017,0
Macon County,Illinois,17115,0
Etowah County,Alabama,1055,5
Whitfield County,Georgia,13313,0
Daviess County,Kentucky,21059,0
Tompkins County,New York,36109,0
Highlands County,Florida,12055,0
Nevada County,California,6057,0
Allen County,Ohio,39003,0
Maury County,Tennessee,47119,0
Columbia0 County,Ohio,39029,0
Hunt County,Texas,48231,0
Craven County,North Caroli0,37049,2
Moore County,North Caroli0,37125,0
DeKalb County,Illinois,17037,0
Dallas County,Iowa,19049,0
Laramie County,Wyoming,56021,0
Garland County,Arkansas,5051,0
Cleveland County,North Caroli0,37045,0
Montgomery County,Virginia,51121,1
Le0wee County,Michigan,26091,0
Roanoke City,Virginia,51770,0
Grant County,Washington,53025,0
Sutter County,California,6101,0
Dubuque County,Iowa,19061,0
Madison County,Tennessee,47113,0
Story County,Iowa,19169,0
Floyd County,Georgia,13115,0
Sevier County,Tennessee,47155,0
Burleigh County,North Dakota,38015,0
Bastrop County,Texas,48021,0
Put0m County,New York,36079,0
Marshall County,Alabama,1095,0
Sherburne County,Minnesota,27141,0
Walton County,Georgia,13297,0
Ashtabula County,Ohio,39007,0
Lancaster County,South Caroli0,45057,0
Portsmouth City,Virginia,51740,0
Lafourche Parish,Louisia0,22057,0
Franklin County,Washington,53021,0
Roanoke County,Virginia,51161,0
Fairbanks North Star Borough,Alaska,2090,0
Rogers County,Oklahoma,40131,0
Northeastern Connecticut Planning Region,Connecticut,9150,0
Benton County,Oregon,41003,0
Cape May County,New Jersey,34009,8
Geauga County,Ohio,39055,0
Grand Traverse County,Michigan,26055,0
0sh County,North Caroli0,37127,0
Suffolk City,Virginia,51800,0
Lauderdale County,Alabama,1077,0
Cabell County,West Virginia,54011,14
St. Croix County,Wisconsin,55109,0
Rockdale County,Georgia,13247,0
Steuben County,New York,36101,0
Pottawattamie County,Iowa,19155,0
Liberty County,Texas,48291,0
Calvert County,Maryland,24009,0
Campbell County,Kentucky,21037,0
Madison County,Kentucky,21151,0
Tuscarawas County,Ohio,39157,0
Bowie County,Texas,48037,0
Frederick County,Virginia,51069,1
Ozaukee County,Wisconsin,55089,0
St. Clair County,Alabama,1115,0
0ssau County,Florida,12089,0
Northumberland County,Pennsylvania,42097,0
Wayne County,New York,36117,0
Victoria County,Texas,48469,0
Rockingham County,North Caroli0,37157,0
Mendocino County,California,6045,0
Grafton County,New Hampshire,33009,1
Twin Falls County,Idaho,16083,0
Christian County,Missouri,29043,0
Dodge County,Wisconsin,55027,0
Lapeer County,Michigan,26087,0
Cullman County,Alabama,1043,0
Josephine County,Oregon,41033,0
Lincoln County,North Caroli0,37109,0
Burke County,North Caroli0,37023,0
Elmore County,Alabama,1051,0
Polk County,Oregon,41053,0
Bannock County,Idaho,16005,0
Angeli0 County,Texas,48005,0
Island County,Washington,53029,0
Muskingum County,Ohio,39119,2
Jefferson County,Wisconsin,55055,0
Lawrence County,Pennsylvania,42073,0
Newport County,Rhode Island,44005,1
Dougherty County,Georgia,13095,5
Orange County,Texas,48361,0
Glynn County,Georgia,13127,0
Bucha0n County,Missouri,29021,0
Cascade County,Monta0,30013,0
Barrow County,Georgia,13013,0
Wood County,West Virginia,54107,0
Orangeburg County,South Caroli0,45075,0
Rockingham County,Virginia,51165,0
Crawford County,Pennsylvania,42039,0
Chemung County,New York,36015,1
Midland County,Michigan,26111,0
Howard County,India0,18067,0
India0 County,Pennsylvania,42063,1
Lee County,Mississippi,28081,0
Coryell County,Texas,48099,0
Lewis County,Washington,53041,0
Henderson County,Texas,48213,0
St. Landry Parish,Louisia0,22097,0
Bullitt County,Kentucky,21029,0
Bartholomew County,India0,18005,0
Wagoner County,Oklahoma,40145,0
Payne County,Oklahoma,40119,0
Leavenworth County,Kansas,20103,0
Monroe County,Florida,12087,0
Yuba County,California,6115,0
Cape Girardeau County,Missouri,29031,0
Manitowoc County,Wisconsin,55071,0
Talladega County,Alabama,1121,0
Caldwell County,North Caroli0,37027,0
Kosciusko County,India0,18085,0
Floyd County,India0,18043,0
Hancock County,India0,18059,0
Put0m County,Tennessee,47141,0
Umatilla County,Oregon,41059,0
Clinton County,New York,36019,0
Bulloch County,Georgia,13031,0
Bedford County,Virginia,51019,0
Clearfield County,Pennsylvania,42033,0
0tro0 County,Wyoming,56025,0
Clinton County,Michigan,26037,0
Lynchburg City,Virginia,51680,0
Chelan County,Washington,53007,0
James City County,Virginia,51095,0
Oconee County,South Caroli0,45073,0
Sullivan County,New York,36105,2
Wilson County,North Caroli0,37195,2
Forrest County,Mississippi,28035,0
Augusta County,Virginia,51015,0
Anderson County,Tennessee,47001,0
Clallam County,Washington,53009,0
Walker County,Texas,48471,0
White County,Arkansas,5145,0
Jackson County,Georgia,13157,0
Cattaraugus County,New York,36009,0
Ross County,Ohio,39141,0
Cole County,Missouri,29051,0
Chatham County,North Caroli0,37037,0
Walton County,Florida,12131,0
Valencia County,New Mexico,35061,0
Cheshire County,New Hampshire,33005,0
Cayuga County,New York,36011,0
Grays Harbor County,Washington,53027,0
Van Buren County,Michigan,26159,0
Erie County,Ohio,39043,0
Hancock County,Ohio,39063,0
Raleigh County,West Virginia,54081,0
Lonoke County,Arkansas,5085,0
Wood County,Wisconsin,55141,0
Vermilion County,Illinois,17183,1
Tooele County,Utah,49045,0
Broomfield County,Colorado,8014,0
Somerset County,Pennsylvania,42111,0
Scioto County,Ohio,39145,0
Put0m County,Florida,12107,0
Kauai County,Hawaii,15007,0
Robertson County,Tennessee,47147,0
Fauquier County,Virginia,51061,0
Lea County,New Mexico,35025,0
Grand Forks County,North Dakota,38035,0
Christian County,Kentucky,21047,0
Lauderdale County,Mississippi,28075,0
Pottawatomie County,Oklahoma,40125,0
Riley County,Kansas,20161,0
Creek County,Oklahoma,40037,0
McKinley County,New Mexico,35031,0
Morgan County,India0,18109,0
DeKalb County,Alabama,1049,0
Lewis and Clark County,Monta0,30049,0
Surry County,North Caroli0,37171,0
Boone County,India0,18011,0
Franklin County,Massachusetts,25011,0
Greene County,Tennessee,47059,0
Portage County,Wisconsin,55097,0
York County,Virginia,51199,0
Wise County,Texas,48497,0
Iberia Parish,Louisia0,22045,0
Columbia County,Florida,12023,0
Franklin County,North Caroli0,37069,0
Ward County,North Dakota,38101,0
Troup County,Georgia,13285,0
Klamath County,Oregon,41035,0
Greenwood County,South Caroli0,45047,0
Harrison County,Texas,48203,0
Blue Earth County,Minnesota,27013,0
San Patricio County,Texas,48409,0
Carteret County,North Caroli0,37031,0
Allegany County,Maryland,24001,0
Shiawassee County,Michigan,26155,0
Walker County,Georgia,13295,0
Catoosa County,Georgia,13047,0
Lake County,California,6033,0
Madison County,New York,36053,0
Oldham County,Kentucky,21185,0
Otero County,New Mexico,35035,0
Butler County,Kansas,20015,0
McCracken County,Kentucky,21145,3
Laurens County,South Caroli0,45059,0
Spalding County,Georgia,13255,0
Aroostook County,Maine,23003,0
Rice County,Minnesota,27131,0
Jones County,Mississippi,28067,0
Williamson County,Illinois,17199,0
Jefferson County,Arkansas,5069,0
Montcalm County,Michigan,26117,0
St. Francois County,Missouri,29187,0
Ionia County,Michigan,26067,0
Muskogee County,Oklahoma,40101,0
Grant County,India0,18053,0
Crow Wing County,Minnesota,27035,0
Belmont County,Ohio,39013,0
Wayne County,India0,18177,0
Marquette County,Michigan,26103,0
Chippewa County,Wisconsin,55017,0
Wilkes County,North Caroli0,37193,0
Apache County,Arizo0,4001,0
Mason County,Washington,53045,0
Harrison County,West Virginia,54033,0
Lincoln County,South Dakota,46083,0
Kershaw County,South Caroli0,45055,0
Starr County,Texas,48427,0
Warren County,New York,36113,0
Sauk County,Wisconsin,55111,0
Adams County,Illinois,17001,0
Liberty County,Georgia,13179,0
Armstrong County,Pennsylvania,42005,0
Tehama County,California,6103,0
Marion County,Ohio,39101,0
Effingham County,Georgia,13103,0
Clay County,Minnesota,27027,0
Jefferson County,Ohio,39081,0
Pulaski County,Kentucky,21199,0
Carbon County,Pennsylvania,42025,0
Walker County,Alabama,1127,0
Isabella County,Michigan,26073,0
Columbia County,Pennsylvania,42037,0
Coos County,Oregon,41011,0
Salem County,New Jersey,34033,0
0cogdoches County,Texas,48347,0
San Benito County,California,6069,0
Chaves County,New Mexico,35005,0
Rutherford County,North Caroli0,37161,0
Hamblen County,Tennessee,47063,0
Lamar County,Mississippi,28073,0
Warrick County,India0,18173,0
